date,value,close,position,returns,cummax,drawdown
2021-11-10,109831.47321879548,1530.9757699999998,0,0.0,117965.38284191513,-0.06895166554089738
2021-11-11,109493.0732187955,1546.5857699999997,-20,-0.0030810840470640866,117965.38284191513,-0.07182030371124493
2021-11-12,109409.4732187955,1550.7657699999997,-20,-0.0007635186185060983,117965.38284191513,-0.07252898619068071
2021-11-15,109662.27321879548,1538.1257699999999,-20,0.0023105860266272593,117965.38284191513,-0.07038598462607126
2021-11-16,108725.0732187955,1584.9857699999998,-20,-0.008546239034550207,117965.38284191513,-0.07833068821132483
2021-11-17,108985.0732187955,1571.9857699999998,-20,0.0023913527239185495,117965.38284191513,-0.07612665179202693
2021-11-18,109045.0732187955,1568.9857699999998,-20,0.0005505341073592795,117965.38284191513,-0.07561802800295825
2021-11-19,108316.87321879549,1605.3957699999999,-20,-0.006677972498022933,117965.38284191513,-0.08179102538962268
2021-11-22,107900.0732187955,1631.2557699999998,0,-0.003847969273984342,117965.38284191513,-0.08532426531102011
2021-11-23,108783.6732187955,1673.4157699999998,20,0.008189058391167903,117965.38284191513,-0.07783393231066771
2021-11-24,110490.0732187955,1717.9857699999998,40,0.01568617743370293,117965.38284191513,-0.06336867174955263
2021-11-25,111146.87321879552,1733.0157699999997,60,0.0059444254209100045,117965.38284191513,-0.05780093667187991
2021-11-26,110245.6732187955,1717.9957699999998,60,-0.008108190306226337,117965.38284191513,-0.06544046598369258
2021-11-29,112885.07321879551,1761.9857699999998,60,0.023941075626267905,117965.38284191513,-0.043066105502558405
2021-11-30,109631.27321879551,1707.7557699999998,60,-0.028824005754006454,117965.38284191513,-0.07064877358375643
2021-12-01,109764.47321879551,1709.9757699999998,60,0.0012149817847519895,117965.38284191513,-0.06951962877202389
2021-12-02,109825.07321879553,1710.98577,60,0.0005520912023986302,117965.38284191513,-0.06900591874506423
2021-12-03,112097.8732187955,1748.8657699999997,60,0.02069472783753179,117965.38284191513,-0.049739249615140424
2021-12-06,111823.07321879551,1744.2857699999997,60,-0.0024514292029753637,117965.38284191513,-0.05206874656907523
2021-12-07,111137.27321879553,1732.85577,60,-0.00613290245259257,117965.38284191513,-0.0578823164781308
2021-12-08,116365.07321879551,1819.9857699999998,60,0.04703912421630174,117965.38284191513,-0.013565925736571227
2021-12-09,118978.07321879551,1863.5357699999997,60,0.022455191473879088,118978.07321879551,0.0
2021-12-10,119185.0732187955,1866.9857699999995,60,0.0017398163745627748,119185.0732187955,0.0
2021-12-13,120877.0732187955,1895.1857699999996,60,0.014196408613131428,120877.0732187955,0.0
2021-12-14,122785.0732187955,1926.9857699999995,60,0.01578463102383676,122785.0732187955,0.0
2021-12-15,121885.07321879551,1911.9857699999998,60,-0.007329881201408206,122785.0732187955,-0.007329881201408206
2021-12-16,120924.47321879552,1895.97577,60,-0.007881194756929943,122785.0732187955,-0.015153307737044708
2021-12-17,116827.0732187955,1827.6857699999996,60,-0.033883959887808346,122785.0732187955,-0.04852381355332347
2021-12-20,117322.67321879552,1835.9457699999998,60,0.004242167387621398,122785.0732187955,-0.04448749230508109
2021-12-21,116077.07321879551,1815.1857699999998,60,-0.010616873668375049,122785.0732187955,-0.05463204788783027
2021-12-22,116665.07321879551,1824.9857699999998,60,0.005065599809634058,122785.0732187955,-0.04984319216957678
2021-12-23,120985.07321879551,1896.9857699999998,60,0.037029077176321756,122785.0732187955,-0.014659762402816634
2021-12-24,125430.4732187955,1971.0757699999995,60,0.03674337570520536,125430.4732187955,0.0
2021-12-27,121694.27321879553,1908.80577,60,-0.02978701988537269,125430.4732187955,-0.02978701988537269
2021-12-28,122075.87321879549,1915.1657699999994,60,0.003135726849807341,125430.4732187955,-0.026744696993595718
2021-12-29,116245.07321879551,1817.9857699999998,60,-0.04776373779894638,125430.4732187955,-0.07323100809782779
2021-12-30,118285.0732187955,1851.9857699999995,60,0.017549130844972005,125430.4732187955,-0.056967017795873764
2021-12-31,116785.07321879551,1826.9857699999998,60,-0.012681228148080814,125430.4732187955,-0.06892583419436937
2022-01-04,116858.8732187955,1828.2157699999998,60,0.0006319300743318212,125430.4732187955,-0.06833746042756339
2022-01-05,115225.07321879551,1800.9857699999998,60,-0.013980966571028097,125430.4732187955,-0.08136300324880474
2022-01-06,112718.27321879551,1759.2057699999998,60,-0.021755681554134987,125430.4732187955,-0.10134857721397073
2022-01-07,112276.09604371003,1718.9857699999998,0,-0.003922852634791307,125430.4732187955,-0.10487385431560592
2022-01-10,112276.09604371003,1742.9857699999998,0,0.0,125430.4732187955,-0.10487385431560592
2022-01-11,112405.19604371004,1717.53577,-18,0.0011498440411550348,125430.4732187955,-0.10384459885090869
2022-01-12,111929.09604371004,1743.9857699999998,-18,-0.004235569322034283,125430.4732187955,-0.10764032717579108
2022-01-13,113542.07604371004,1654.3757699999996,-18,0.014410730158761487,125430.4732187955,-0.09478077272616081
2022-01-14,113911.11604371005,1643.9857699999998,-36,0.0032502488316132894,125430.4732187955,-0.09183858499036013
2022-01-17,114105.15604371004,1638.59577,-36,0.0017034334026324593,125430.4732187955,-0.09029159250105079
2022-01-18,112415.18604371005,1669.2557699999998,-55,-0.014810636596935267,125430.4732187955,-0.10376495313369449
2022-01-19,111330.03604371005,1688.9857699999998,-55,-0.009653055233819319,125430.4732187955,-0.11241635954357965
2022-01-20,108166.43604371005,1746.5057699999998,-55,-0.028416410453311114,125430.4732187955,-0.13763830058243343
2022-01-21,108681.87742154837,1761.9757699999998,0,0.004765261727122327,125430.4732187955,-0.1335289213812627
2022-01-24,108681.87742154837,1727.1857699999998,0,0.0,125430.4732187955,-0.1335289213812627
2022-01-25,108681.87742154837,1719.9857699999998,0,0.0,125430.4732187955,-0.1335289213812627
2022-01-26,108681.87742154837,1731.9857699999998,0,0.0,125430.4732187955,-0.1335289213812627
2022-01-27,108681.87742154837,1741.9857699999998,0,0.0,125430.4732187955,-0.1335289213812627
2022-01-28,108681.87742154837,1663.9857699999998,0,0.0,125430.4732187955,-0.1335289213812627
2022-02-07,108681.87742154837,1644.9457699999998,0,0.0,125430.4732187955,-0.1335289213812627
2022-02-08,108681.87742154837,1615.9857699999998,0,0.0,125430.4732187955,-0.1335289213812627
2022-02-09,107652.85742154837,1672.9657699999998,-18,-0.009468183881372494,125430.4732187955,-0.14173282888151606
2022-02-10,108066.49742154838,1649.9857699999998,-18,0.0038423504020916877,125430.4732187955,-0.1384350656714668
2022-02-11,108481.03742154838,1626.9557699999998,-18,0.00383597146100656,125430.4732187955,-0.13513012717157857
2022-02-14,108144.43742154838,1645.6557699999996,-18,-0.003102846432893047,125430.4732187955,-0.13781368557140095
2022-02-15,107749.33742154838,1667.6057699999997,-18,-0.0036534472731121204,125430.4732187955,-0.1409636378107647
2022-02-16,107714.59742154837,1669.5357699999997,-18,-0.00032241497564011734,125430.4732187955,-0.14124060399855398
2022-02-17,107814.67742154837,1663.9757699999998,-18,0.0009291219797102901,125430.4732187955,-0.14044271176844636
2022-02-18,107454.49742154838,1683.9857699999998,-18,-0.003340732529317103,125430.4732187955,-0.14331426276205306
2022-02-21,107994.67742154837,1653.9757699999998,-18,0.005027058084696501,125430.4732187955,-0.13900765380062685
2022-02-22,109238.83742154838,1584.8557699999997,-18,0.011520567769683021,125430.4732187955,-0.1290885331270586
2022-02-23,108577.31742154837,1603.9957699999998,-38,-0.006055721715961027,125430.4732187955,-0.1343625306096805
2022-02-24,110967.51742154837,1541.09577,-38,0.022013805984173684,125430.4732187955,-0.11530655530589096
2022-02-25,109153.21742154837,1576.0457699999997,-58,-0.016349829591192466,125430.4732187955,-0.12977114236708476
